Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;zamzamelectronicstradingllc;326;0,040494681;14900;1;92;37600000;37600000;218600
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;tseriesoldisgold;21;0,001569149;569;1;93;37600000;37600000;58700
Noticias y Política;Noticias y Política;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;IndiaTV;2;0,000477333;177;1;94;37500000;37500000;8400
Música y baile;Música y baile;Animación;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LaGranjaDeZenon;0;0,0048;1800;1;95;37500000;37500000;502200
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Jkk_Entertainment;130;0,013716578;5000;1;96;37400000;37400000;678600
;;;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;thedonato;312;0,087195187;32299;1;97;37400000;37400000;475000
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TechnoGamerzOfficial;17000;0,796486486;277700;1;98;37000000;37000000;4700000
Películas;Películas;Videojuegos;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TotalGaming093;1000;0,260704607;95200;1;99;36900000;36900000;1100000
;;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Maroon5;0;0;0;1;100;36800000;36800000;0
Animación;Animación;Humor;;América del Norte;México;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;fedevigevani;15000;0,985597826;347700;1;101;36800000;36800000;6200000
Juguetes;Juguetes;;;;;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;GenevievesPlayhouse;0;0,001598361;585;1;102;36600000;36600000;655000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Ozuna;414;0,030258242;10600;1;103;36400000;36400000;1300000
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;starplus;7;0,001250689;447;1;104;36300000;36300000;22600
Videojuegos;Videojuegos;Juguetes;;;;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;RyansWorld;0;0,003611111;1300;1;105;36000000;36000000;286200
Animación;Animación;Videojuegos;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;markiplier;6200;0,359444444;123200;1;106;36000000;36000000;2300000
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;JingleToons;0;0,001216292;433;1;107;35600000;35600000;100700
Animación;Animación;Humor;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;DaFuqBoom;35900;4,044788732;1400000;1;108;35500000;35500000;27300000
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;tseriesapnapunjab;18;0,001440678;492;1;109;35400000;35400000;13900
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KLBROBijuRithvik1;236;0,248543909;87500;1;110;35300000;35300000;2800000
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;PANDABOI;73;0,040610315;14100;1;111;34900000;34900000;579900
Animación;Animación;Videojuegos;;Ásia;Iraq;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;AboFlah;10200;1,014326648;343800;1;112;34900000;34900000;4000000
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Dushyant_kukreja;494;0,444108883;154500;1;113;34900000;34900000;4800000
Música y baile;Música y baile;Humor;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;AlanChikinChow;1400;0,831609195;288000;1;114;34800000;34800000;7600000
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;GeetMP3;55;0,009640805;3300;1;115;34800000;34800000;28600
